id,occurrences,volumes,source_families,source_note,sample_documents
cf3b59fa3a9a,5,frus1981-88v05; frus1981-88v24,Department of State - Central Foreign Policy File,"Source: Department of State, Central Foreign Policy File, Electronic Telegrams, [no N number]. Secret; Immediate; Nodis.",frus1981-88v05/d140; frus1981-88v05/d165; frus1981-88v24/d159; frus1981-88v24/d221; frus1981-88v24/d311
6d98af891103,4,frus1981-88v41,Reagan Library - NSC Institutional/Executive Secretariat Files,"Source: Reagan Library, Executive Secretariat, NSC NSSD File, NSSD 1–84 [US Third World Hunger Relief] (1 of 3). Secret.",frus1981-88v41/d211; frus1981-88v41/d212; frus1981-88v41/d213; frus1981-88v41/d214
b42286bf9a5b,3,frus1981-88v13,Department of State - Central Foreign Policy File,"Source: Department of State, Executive Secretariat, Files of Alexander M. Haig, Jr., 1981–1982, Lot 82D370, (2) Falklands Crisis—1982. Secret; Nodis. Haig was speaking from his suite at the Churchill Hotel.",frus1981-88v13/d102; frus1981-88v13/d106; frus1981-88v13/d107
87c10b8adc27,3,frus1981-88v11,Reagan Library - NSC Institutional/Executive Secretariat Files,"Source: National Security Council, National Security Council Institutional Files, SR Box 094, NSDD 256. Secret.",frus1981-88v11/d178; frus1981-88v11/d179; frus1981-88v11/d180
736c6c49a121,3,frus1981-88v10,Reagan Library - NSC Institutional/Executive Secretariat Files,"Source: Reagan Library, Executive Secretariat, NSC Cable File, Europe (State) NODIS IN (01/21/1984–04/23/1984). Confidential; Immediate; Nodis.",frus1981-88v10/d264; frus1981-88v10/d265; frus1981-88v10/d266
eb1635200a6b,3,frus1981-88v11,Reagan Library - Staff/Subject/Directorate Files,"Source: Reagan Library, Linhard Files, 7 DWARVES MEETING, MOSCOW, 11–12 AUG 1986. Secret. The meeting took place at the Ministry of Foreign Affairs Guest House, Meshcherino. Drafted by Smith; approved by Nitze.",frus1981-88v11/d142; frus1981-88v11/d143; frus1981-88v11/d144
09af195c934e,3,frus1981-88v41,Reagan Library - Staff/Subject/Directorate Files,"Source: Reagan Library, Meese Files, Law of the Sea. No classification marking.",frus1981-88v41/d146; frus1981-88v41/d166; frus1981-88v41/d172
2573a93b02ae,3,frus1981-88v24,DOD/OSD/WNRC/JCS/Agency Records,"Source: Washington National Records Center, OSD Files, FRC 330–83–0104, 1981 Official Records (Secret & Below) of the Secretary and Deputy Secretary of Defense, and the Executive Secretary to the Secretary and Deputy Secretary of Defense, Box 13, Morocco (Jan–Jun). Secret.",frus1981-88v24/d191; frus1981-88v24/d192; frus1981-88v24/d370
1d4351bcb5c3,2,frus1981-88v04,DOD/OSD/WNRC/JCS/Agency Records,"Source: Central Intelligence Agency, National Intelligence Council, Job 88T00528R: Policy Files (1982–1984), Box 1, Folder 1: VC/NIC Chron January–March 1984. Top Secret; [ codeword not declassified ].",frus1981-88v04/d134; frus1981-88v04/d204
6bd64ccaaa17,2,frus1981-88v44p1,Department of State - Lot/Executive Secretariat Files,"Source: Department of State, Ambassador Nitze’s Personal Files 1953, 1972–1989, Lot 90D397, 1987. Secret; Sensitive.",frus1981-88v44p1/d209; frus1981-88v44p1/d234
fe58dfa26a96,2,frus1981-88v05,Department of State - Lot/Executive Secretariat/Office Files,"Source: Department of State, Ambassador Nitze’s Personal Files 1953, 1972–1989, Lot 90D397, July–August 1986. Secret; Sensitive. Drafted by Burton. The meeting took place in the EUR Conference Room at the Department of State. Brackets are in the original.",frus1981-88v05/d255; frus1981-88v05/d256
17337be09d29,2,frus1981-88v05; frus1981-88v44p1,Department of State - Lot/Executive Secretariat Files; Department of State - Lot/Executive Secretariat/Office Files,"Source: Department of State, Ambassador Nitze’s Personal Files 1953, 1972–1989, Lot 90D397, June 1986. Secret; Sensitive.",frus1981-88v05/d249; frus1981-88v44p1/d118
1daee0ba5fd4,2,frus1981-88v10,Department of State - Central Foreign Policy File,"Source: Department of State, Ambassador Robie Mark Palmer’s Files, 1972–1985, Lot 87 D 177, Yugoslavia 1984. Secret; Immediate; Nodis.",frus1981-88v10/d227; frus1981-88v10/d229
